zipcode,homeowner dummy,NUMCHLD,gender dummy,WEALTH,HV,Icmed,Icavg,NUMPROM,MAXRAMNT,totalmonths,Donor
3,1,1,1,9,1399,637,703,74,6,29,1
2,1,1,0,7,698,422,463,46,12,34,0
5,0,2,1,8,828,358,376,32,10,29,0
5,1,1,0,4,1471,484,546,94,10,30,0
3,1,1,0,8,547,386,432,20,11,30,0
3,1,1,1,8,482,242,275,38,10,31,1
5,1,1,1,8,857,450,498,47,20,37,0
2,1,1,0,7,1355,411,497,77,15,35,0
4,1,1,0,5,505,333,388,51,15,37,0
2,1,1,1,8,1438,458,533,21,16,30,0
5,1,1,1,8,1316,541,575,66,12,31,1
2,1,1,1,5,428,203,271,73,6,32,0
4,1,1,1,5,629,434,472,59,5,30,0
2,0,1,0,8,1318,399,458,25,10,32,0
5,0,1,0,8,1052,337,402,27,20,37,0
4,1,1,1,5,779,434,500,98,7,33,0
5,1,1,0,6,807,354,393,60,10,30,0
2,1,1,0,9,2246,542,640,76,34,33,0
2,1,1,0,7,789,295,398,48,60,37,0
5,0,1,1,7,995,372,407,83,25,28,1
4,1,1,0,7,936,521,590,69,6,31,0
5,1,1,1,8,860,321,392,38,20,18,1
5,1,1,1,8,3510,622,633,22,15,34,0
4,0,1,1,8,735,446,455,58,9,30,0
5,1,1,0,6,1888,382,435,98,23,17,1
4,1,1,1,9,3958,761,862,53,20,31,0
3,1,1,1,8,411,236,273,15,15,35,0
3,1,1,0,2,610,281,328,50,25,36,0
2,1,1,1,8,826,415,514,37,15,37,0
2,1,1,1,4,780,321,354,48,20,37,0
3,0,1,0,2,418,300,348,92,15,37,0
5,0,1,1,4,3321,434,536,66,20,37,0
5,1,1,0,8,1868,324,380,28,10,32,0
4,0,1,1,8,457,302,329,85,10,30,0
5,1,1,0,8,1604,438,431,26,10,31,0
5,1,1,1,8,842,464,556,50,10,31,1
2,1,1,1,8,2085,755,797,50,5,32,0
5,1,1,0,8,5505,1255,1142,24,16,34,0
5,1,1,1,8,819,415,428,26,10,29,1
2,1,1,0,8,0,0,0,27,10,31,0
3,1,1,1,8,296,280,315,64,5,20,1
3,1,1,0,8,299,247,315,22,20,30,0
2,0,1,0,8,675,374,402,24,16,37,0
5,1,1,1,0,998,273,354,72,10,31,1
